date,Federal Fund Rate Target
1954-01-07,0.8
1954-01-08,1.22
1954-01-09,1.07
1954-01-10,0.85
1954-01-11,0.83
1954-01-12,1.28
1955-01-01,1.39
1955-01-02,1.29
1955-01-03,1.35
1955-01-04,1.43
1955-01-05,1.43
1955-01-06,1.64
1955-01-07,1.68
1955-01-08,1.96
1955-01-09,2.18
1955-01-10,2.24
1955-01-11,2.35
1955-01-12,2.48
1956-01-01,2.45
1956-01-02,2.5
1956-01-03,2.5
1956-01-04,2.62
1956-01-05,2.75
1956-01-06,2.71
1956-01-07,2.75
1956-01-08,2.73
1956-01-09,2.95
1956-01-10,2.96
1956-01-11,2.88
1956-01-12,2.94
1957-01-01,2.84
1957-01-02,3.0
1957-01-03,2.96
1957-01-04,3.0
1957-01-05,3.0
1957-01-06,3.0
1957-01-07,2.99
1957-01-08,3.24
1957-01-09,3.47
1957-01-10,3.5
1957-01-11,3.28
1957-01-12,2.98
1958-01-01,2.72
1958-01-02,1.67
1958-01-03,1.2
1958-01-04,1.26
1958-01-05,0.63
1958-01-06,0.93
1958-01-07,0.68
1958-01-08,1.53
1958-01-09,1.76
1958-01-10,1.8
1958-01-11,2.27
1958-01-12,2.42
1959-01-01,2.48
1959-01-02,2.43
1959-01-03,2.8
1959-01-04,2.96
1959-01-05,2.9
1959-01-06,3.39
1959-01-07,3.47
1959-01-08,3.5
1959-01-09,3.76
1959-01-10,3.98
1959-01-11,4.0
1959-01-12,3.99
1960-01-01,3.99
1960-01-02,3.97
1960-01-03,3.84
1960-01-04,3.92
1960-01-05,3.85
1960-01-06,3.32
1960-01-07,3.23
1960-01-08,2.98
1960-01-09,2.6
1960-01-10,2.47
1960-01-11,2.44
1960-01-12,1.98
1961-01-01,1.45
1961-01-02,2.54
1961-01-03,2.02
1961-01-04,1.49
1961-01-05,1.98
1961-01-06,1.73
1961-01-07,1.17
1961-01-08,2.0
1961-01-09,1.88
1961-01-10,2.26
1961-01-11,2.61
1961-01-12,2.33
1962-01-01,2.15
1962-01-02,2.37
1962-01-03,2.85
1962-01-04,2.78
1962-01-05,2.36
1962-01-06,2.68
1962-01-07,2.71
1962-01-08,2.93
1962-01-09,2.9
1962-01-10,2.9
1962-01-11,2.94
1962-01-12,2.93
1963-01-01,2.92
1963-01-02,3.0
1963-01-03,2.98
1963-01-04,2.9
1963-01-05,3.0
1963-01-06,2.99
1963-01-07,3.02
1963-01-08,3.49
1963-01-09,3.48
1963-01-10,3.5
1963-01-11,3.48
1963-01-12,3.38
1964-01-01,3.48
1964-01-02,3.48
1964-01-03,3.43
