date,Federal Fund Rate Target
2003-01-01,1.24
2003-01-02,1.26
2003-01-03,1.25
2003-01-04,1.26
2003-01-05,1.26
2003-01-06,1.22
2003-01-07,1.01
2003-01-08,1.03
2003-01-09,1.01
2003-01-10,1.01
2003-01-11,1.0
2003-01-12,0.98
2004-01-01,1.0
2004-01-02,1.01
2004-01-03,1.0
2004-01-04,1.0
2004-01-05,1.0
2004-01-06,1.03
2004-01-07,1.26
2004-01-08,1.43
2004-01-09,1.61
2004-01-10,1.76
2004-01-11,1.93
2004-01-12,2.16
2005-01-01,2.28
2005-01-02,2.5
2005-01-03,2.63
2005-01-04,2.79
2005-01-05,3.0
2005-01-06,3.04
2005-01-07,3.26
2005-01-08,3.5
2005-01-09,3.62
2005-01-10,3.78
2005-01-11,4.0
2005-01-12,4.16
2006-01-01,4.29
2006-01-02,4.49
2006-01-03,4.59
2006-01-04,4.79
2006-01-05,4.94
2006-01-06,4.99
2006-01-07,5.24
2006-01-08,5.25
2006-01-09,5.25
2006-01-10,5.25
2006-01-11,5.25
2006-01-12,5.24
2007-01-01,5.25
2007-01-02,5.26
2007-01-03,5.26
2007-01-04,5.25
2007-01-05,5.25
2007-01-06,5.25
2007-01-07,5.26
2007-01-08,5.02
2007-01-09,4.94
2007-01-10,4.76
2007-01-11,4.49
2007-01-12,4.24
2008-01-01,3.94
2008-01-02,2.98
2008-01-03,2.61
2008-01-04,2.28
2008-01-05,1.98
2008-01-06,2.0
2008-01-07,2.01
2008-01-08,2.0
2008-01-09,1.81
2008-01-10,0.97
2008-01-11,0.39
2008-01-12,0.16
2009-01-01,0.15
2009-01-02,0.22
2009-01-03,0.18
2009-01-04,0.15
2009-01-05,0.18
2009-01-06,0.21
2009-01-07,0.16
2009-01-08,0.16
2009-01-09,0.15
2009-01-10,0.12
2009-01-11,0.12
2009-01-12,0.12
2010-01-01,0.11
