Date,Open,High,Low,Close,Adj Close,Volume
2003-01-01,20.040001,20.770000,19.850000,20.570000,12.915603,986400
2003-01-08,20.500000,20.719999,20.010000,20.580000,12.921885,490500
2003-01-15,20.469999,20.480000,19.730000,19.750000,12.400739,252500
2003-01-22,19.740000,19.900000,18.750000,18.920000,11.879589,517100
2003-01-29,18.990000,19.160000,18.590000,18.820000,11.816807,2705700
2003-02-05,18.820000,19.110001,18.299999,18.340000,11.515419,411200
2003-02-12,18.400000,18.860001,18.070000,18.770000,11.785414,647100
2003-02-19,18.770000,18.900000,17.820000,18.209999,11.433792,403900
2003-02-26,18.320000,18.570000,17.840000,17.840000,11.201477,1766000
2003-03-05,17.830000,17.940001,17.219999,17.230000,10.818467,725100
2003-03-12,17.200001,19.180000,17.010000,19.100000,11.992617,3641800
2003-03-19,19.110001,19.660000,18.740000,18.910000,11.873311,283200
2003-03-26,18.930000,18.990000,18.160000,18.580000,11.718992,2385100
2003-04-02,18.840000,19.500000,18.750000,18.910000,11.927131,780700
2003-04-09,19.010000,19.309999,18.549999,19.309999,12.179425,1826300
2003-04-16,19.389999,19.690001,19.020000,19.690001,12.419105,3136800
2003-04-23,19.700001,20.020000,19.299999,19.940001,12.576784,1954400
2003-04-30,19.950001,20.340000,19.639999,20.240000,12.766007,682600
2003-05-07,20.200001,20.590000,19.879999,20.420000,12.879535,575900
2003-05-14,20.459999,20.459999,19.709999,19.889999,12.545248,886600
2003-05-21,19.920000,20.629999,19.799999,20.580000,12.980452,3385700
2003-05-28,20.600000,21.120001,20.290001,20.870001,13.163362,1496000
2003-06-04,20.830000,21.549999,20.830000,21.020000,13.257977,1077300
2003-06-11,21.139999,21.670000,21.030001,21.629999,13.642717,1613200
2003-06-18,21.639999,21.639999,20.600000,20.750000,13.087675,1344600
2003-06-25,20.780001,20.980000,20.350000,20.680000,13.116771,1088500
2003-07-02,20.780001,21.100000,20.660000,21.040001,13.345112,674000
2003-07-09,21.040001,21.040001,20.500000,20.670000,13.110428,259500
2003-07-16,20.709999,21.350000,20.420000,21.350000,13.541736,1488400
2003-07-23,21.379999,22.250000,21.150000,22.090000,14.011100,2123300
2003-07-30,22.150000,22.600000,21.770000,21.770000,13.808126,3543600
2003-08-06,21.750000,22.209999,21.510000,22.200001,14.080871,2623400
2003-08-13,22.280001,22.990000,22.100000,22.990000,14.581947,3591400
2003-08-20,22.950001,23.299999,22.250000,22.629999,14.353600,3527500
2003-08-27,22.629999,23.290001,22.530001,23.250000,14.746856,3343800
