Date,Open,High,Low,Close,Adj Close,Volume
2004-06-28,23.840000,23.870001,23.309999,23.719999,11.887837,2250200
2004-07-05,23.700001,23.799999,23.459999,23.590000,11.822677,2821600
2004-07-12,23.530001,24.100000,23.510000,24.080000,12.068262,2253300
2004-07-19,24.120001,24.299999,23.530001,23.559999,11.807648,2277400
2004-07-26,23.530001,24.120001,23.379999,24.120001,12.088304,4358700
2004-08-02,24.209999,24.549999,23.959999,24.350000,12.203575,6418300
2004-08-09,24.549999,24.700001,24.200001,24.469999,12.263715,3249900
2004-08-16,24.010000,24.889999,24.010000,24.709999,12.383995,3592600
2004-08-23,24.809999,24.910000,24.610001,24.799999,12.429107,2206300
2004-08-30,24.799999,25.490000,24.719999,25.160000,12.609523,3142500
2004-09-06,25.160000,25.360001,25.010000,25.260000,12.659644,3462300
2004-09-13,25.340000,25.340000,24.920000,25.160000,12.609523,3618900
2004-09-20,25.100000,25.250000,24.780001,24.860001,12.563293,2733100
2004-09-27,24.850000,25.330000,24.770000,25.250000,12.760375,4159300
2004-10-04,25.490000,25.709999,25.299999,25.530001,12.901881,3736100
2004-10-11,25.639999,25.709999,25.230000,25.580000,12.927145,3408700
2004-10-18,25.650000,25.719999,25.200001,25.660000,12.967574,3580400
2004-10-25,25.600000,26.549999,25.600000,26.270000,13.275848,5000200
2004-11-01,26.420000,27.299999,25.950001,26.940001,13.614435,7352600
2004-11-08,26.900000,27.830000,26.900000,27.820000,14.059155,10994800
2004-11-15,27.850000,27.870001,27.190001,27.299999,13.796369,6592500
2004-11-22,27.400000,28.190001,27.370001,28.110001,14.205714,2984100
2004-11-29,28.250000,28.250000,26.750000,27.059999,13.675085,9997900
2004-12-06,27.129999,27.379999,26.820000,27.070000,13.680137,4281000
2004-12-13,27.200001,27.879999,27.059999,27.520000,13.907553,6812700
2004-12-20,27.510000,28.150000,27.510000,28.010000,14.290293,4299800
2004-12-27,28.200001,28.200001,27.760000,27.850000,14.208665,3406900
2005-01-03,27.799999,28.049999,26.900000,27.049999,13.800515,5885900
2005-01-10,26.969999,27.620001,26.940001,27.549999,14.055603,4299000
2005-01-17,27.500000,27.900000,27.350000,27.469999,14.014790,5800200
2005-01-24,27.580000,28.129999,27.469999,28.120001,14.346415,4935700
2005-01-31,28.240000,29.180000,28.170000,29.100000,14.846396,7040800
2005-02-07,29.299999,29.350000,28.930000,29.090000,14.841287,10280400
2005-02-14,29.280001,29.580000,28.920000,29.010000,14.800474,5213900
2005-02-21,29.049999,29.340000,28.250000,29.250000,14.922914,11537500
2005-02-28,29.320000,29.750000,28.940001,29.709999,15.157599,10042700
2005-03-07,29.750000,29.980000,29.030001,29.250000,14.922914,10999400
2005-03-14,29.270000,29.920000,28.969999,29.160000,14.877005,9048700
2005-03-21,29.299999,29.299999,28.129999,28.719999,14.763745,13590700
2005-03-28,28.900000,29.500000,28.370001,29.250000,15.036183,5772100
2005-04-04,29.490000,29.799999,29.059999,29.450001,15.139003,5728400
2005-04-11,29.629999,30.100000,28.959999,29.010000,14.912815,4868600
2005-04-18,28.990000,29.750000,28.799999,29.719999,15.277792,8230800
2005-04-25,29.900000,30.059999,29.320000,30.049999,15.447435,5644400
2005-05-02,30.219999,30.299999,29.610001,29.820000,15.329207,7434400
2005-05-09,29.820000,30.100000,28.700001,29.170000,14.995064,7494500
2005-05-16,29.180000,29.959999,29.020000,29.870001,15.354907,6387800
2005-05-23,29.719999,30.070000,29.650000,30.040001,15.442299,3785600
2005-05-30,30.120001,30.559999,29.950001,30.480000,15.668485,6226000
2005-06-06,30.500000,30.860001,30.299999,30.719999,15.791856,7293300
