Date,Energy,Materials,Industrials,Consumer Discretionary,Consumer Staples,Healthcare,Financials,Information Technology,Utilities
2006-06-07,50.189999,29.59,32.330002,32.439999,23.559999,30.040001,25.751423,19.59,32.150002
2006-06-14,50.860001,30.110001,32.959999,32.849998,23.83,29.969999,25.743298,20.07,31.75
2006-06-21,54.07,30.639999,33.02,32.630001,23.82,29.559999,25.662064,19.799999,31.67
2006-06-28,57.360001,32.48,33.93,33.439999,24.33,30.299999,26.580015,20.48,32.650002
2006-07-05,57.900002,31.85,33.450001,32.91,24.639999,30.59,26.466288,19.83,32.939999
2006-07-12,56.02,30.5,32.040001,31.42,24.17,30.09,25.79204,19.200001,32.799999
2006-07-19,57.099998,30.969999,32.130001,32.310001,24.74,31.84,26.628757,19.5,33.91
2006-07-26,58.720001,30.65,31.690001,31.98,24.450001,31.889999,26.791227,19.52,34.259998
2006-08-02,58.110001,31.0,31.65,32.049999,24.790001,31.709999,26.758734,19.620001,33.990002
2006-08-09,57.240002,31.33,31.860001,32.57,25.049999,31.9,26.969942,20.34,34.32
2006-08-16,58.25,31.77,32.34,32.700001,25.23,32.299999,27.132414,20.700001,34.529999
2006-08-23,57.02,31.67,32.150002,32.799999,25.43,32.880001,27.075548,21.120001,34.599998
2006-08-30,57.240002,32.380001,32.549999,33.290001,25.57,32.82,27.327375,21.389999,34.43
2006-09-06,51.950001,31.26,32.52,34.330002,25.74,33.310001,27.546709,21.639999,34.049999
2006-09-13,52.299999,31.15,32.68,34.349998,25.540001,33.18,27.757919,21.59,33.689999
2006-09-20,52.529999,31.9,33.189999,35.209999,25.35,33.049999,28.237206,22.129999,33.970001
2006-09-27,50.900002,31.280001,33.650002,35.330002,25.24,33.099998,28.334686,21.959999,34.380001
2006-10-04,52.869999,32.389999,34.34,36.34,25.27,33.049999,28.643379,22.379999,34.439999
2006-10-11,54.650002,32.759998,34.599998,36.470001,25.290001,33.27,28.675873,22.610001,34.869999
2006-10-18,55.799999,33.27,34.48,37.049999,25.709999,33.84,28.716492,22.74,35.68
2006-10-25,55.73,33.540001,34.279999,37.209999,25.83,33.299999,28.781479,22.870001,35.790001
2006-11-01,56.57,33.580002,34.610001,37.150002,25.6,33.73,28.919579,23.02,35.299999
2006-11-08,57.689999,34.02,34.880001,37.790001,25.540001,32.82,29.220146,23.459999,35.990002
2006-11-15,58.0,34.57,35.400002,38.07,25.77,33.09,29.382616,23.629999,35.98
2006-11-22,58.200001,34.639999,34.860001,37.380001,25.52,32.869999,28.862713,23.32,36.060001
2006-11-29,60.869999,35.380001,35.450001,38.349998,26.040001,33.200001,29.358246,23.629999,37.099998
2006-12-06,60.259998,35.02,35.209999,38.150002,26.059999,33.32,29.60195,23.450001,37.110001
2006-12-13,60.259998,35.27,35.25,38.439999,26.059999,33.650002,29.853777,23.32,36.84
2006-12-20,58.66,34.790001,35.18,38.349998,26.17,33.459999,29.943136,23.17,36.75
2006-12-27,58.630001,34.84,35.009998,38.360001,26.120001,33.490002,29.845654,23.26,36.720001
2007-01-03,55.439999,34.23,35.07,38.52,26.24,33.689999,29.740049,23.6,36.119999
2007-01-10,54.869999,35.32,35.77,39.400002,26.530001,34.360001,30.1381,23.969999,35.98
2007-01-17,57.650002,35.849998,35.639999,39.5,26.629999,34.279999,29.983753,23.209999,36.25
2007-01-24,57.720001,36.040001,35.27,39.040001,26.540001,34.349998,29.878147,23.59,36.48
2007-01-31,58.389999,36.73,36.27,39.720001,26.67,34.619999,30.503656,23.66,37.700001
2007-02-07,58.419998,37.490002,36.200001,39.610001,26.549999,34.529999,30.341187,23.530001,38.23
2007-02-14,57.349998,38.02,36.720001,40.189999,27.049999,34.75,30.836718,23.91,38.34
2007-02-21,56.650002,37.18,35.299999,38.150002,26.200001,33.48,28.675873,23.0,38.150002
2007-02-28,56.450001,36.700001,35.150002,37.919998,26.0,33.439999,28.976442,23.040001,38.130001
2007-03-07,56.549999,36.52,35.02,37.509998,25.75,33.080002,28.269699,22.77,38.060001
2007-03-14,57.700001,37.810001,35.59,38.150002,26.35,33.630001,28.895206,23.25,39.240002
2007-03-21,60.75,38.07,35.889999,38.23,26.48,33.73,29.082047,23.610001,39.959999
2007-03-28,61.25,38.450001,35.860001,38.650002,26.9,34.18,29.033306,23.629999,40.700001
